pwbib_abbrv	pwbib_id	match_how	jachertz_head	editions	io_shelfmarks	gild_shelfmarks
ANANDAGIRI	649	exact	A1nandagiri	Ein Kommentator der Br2hada1ran2yaka Upanis2ad. PW, pw		
ANUPADA	762	prefix	Anupadasu1tra	Ohne weiteres im PW.		
ANUPADAS	669	prefix	Anupadasu1tra	Ohne weiteres im PW.		
ARG	780	xref	Arjunasama1gama	Liber sine titulo. Ed. F. Bopp, Berlin, 1829.  PW, pw Mit		106
AV.ANUKR	696	xref	Atharvaveda	Ed. R. Roth und D. Whitney, Berlin, 1855.  PW, pw Mit Anukraman2ika1 (10 Pat2ala)	213	
AV.PRAT	637	xref	Atharvaveda	Ed. R. Roth und D. Whitney, Berlin, 1855.  PW, pw Mit Anukraman2ika1 (10 Pat2ala)	213	
BHAG	612	xref	Bhagavadgi1ta1	Ed. A. Schlegel, Bonn, 1846.  PW, pw		116
BHAR	541	xref	Bharata	Ein Autor über Schauspielkunst. Handschrift? PW		
BHAR.NATJAC	710	xref	Bha1rati1yana1t2yas4a1stra	In Halls Das4aru1pa am Ende. pw		
BHARATA	607	exact	Bharata	Ein Autor über Schauspielkunst. Handschrift? PW		
BRAHMAN	628	prefix	Bra1hma1n2d2a Pura1n2a	Ohne weiteres im PW		
BRHASPATI	584	exact	Br2haspati	Verfasser eines Gesetzbuches nach Anführungen im Mita1ks2ara und		
BURNELL	742	prefix	Burnell, T.			
GJOT	761	xref	Jyotis2am	Uber den Vedakalender namens Jyotis2am. Von A. Weber, Berlin, 1862. pw		
HIOUEN-THSANG	758	exact	Hiouen Thsang	1. Histoire de la vie de Hiouen Thsang et de ses voyages		
JOLLY	653	xref	Indisches Schuldrecht	Von J. Jolly, Münchner philos. --phil. Abhandlungen, 1877. S. 528ff pw		
KAIJ	605	xref	Kaiyata	Ein Kommentator zum Maha1bha1s2ya. PW		
KATANTRA	627	exact	Ka1tantra	Ed. J. Eggeling, Calcutta, 1874.  pw	1282	
KIELHORN	672	exact	Kielhorn			
MAC	783	xref	Mas4aka Kalpasu1tra	Ohne weiteres im PW.		
MAHAN	590	xref	Maha1na1t2aka	Ed. K. Kr2s2n2a Bahadur, Calcutta, 1840.  PW		220
MALLIN	511	xref	Mallina1tha	Ein Kommentator des Ka9lida1sa. PW, pw		
MANU	544	exact	Manu			
OPPERT	635	exact	Oppert			
PANINI	694	exact	Pa1n2ini	Ed. O. Böhtlingk, Bonn, 1840. PW, pw Mit: Va1rtika1s von Ka1tya1yana		
PAT	555	xref	Patan5jali	1. Verfasser des Maha1bha1s2ya. In Böhtlingks Pa1n2ini. | 2. s. Yogasu1tra		
RAJAM	775	xref	Ra1yamukuta	Ein Kommentator des Amarakos4a, nach Anführungen im S4KD. PW		
RAJENDR.NOT	618	xref	Notices			
TANTRAS	543	xref	Tantrasa1ra	Nach Anführungen im S4KD. PW		
TANTRASARA	766	exact	Tantrasa1ra	Nach Anführungen im S4KD. PW		
UPALEKHA	582	exact	Upalekha	Ed. W. Pertsch, Berlin, 1854.  PW	2796	
VARAH	751	prefix	Vara1ha Pura1n2a	Handschrift. PW, pw		
VEDANTASARA	664	exact	Veda1ntasa1ra	1. Ed. Calcutta, 1829.  PW | 2. Ed. J. R. Ballantyne, Allahabad, 1850.  PW	2937	279
VERZ.D.PET.H	722	xref	St. Petersburg			
VIRAMITROD	693	prefix	Vi1ramitrodaya	Ed. Calcutta, 1815.  PW, pw	3005	
VIVEK	652	prefix	Vivekavila1sa	In der Zeitschrift Pratnakamranandini1. pw		
WILSON	574	prefix	Wilson, H.H.			
