<L>44<pc>1-001-b<k1>aMsay<k2>aMsay	!√{#aMsay#}

<L>249<pc>1-003-c<k1>akz<k2>akz	√{#akz#}

<L>354<pc>1-005-a<k1>akzigocaray<k2>akzigocaray	!√{#akzigocaray#}

<L>456<pc>1-006-a<k1>agastyAy<k2>agastyAy	!√{#agastyAy#}

<L>843<pc>1-010-b<k1>aGAy<k2>aGAy	!√{#aGAy#}

<L>883<pc>1-011-a<k1>aNkay<k2>aNkay	!√{#aNkay#}

<L>898<pc>1-011-a<k1>aNkuray<k2>aNkuray	!√{#aNkuray#}

<L>900<pc>1-011-b<k1>aNkurAy<k2>aNkurAy	!√{#aNkurAy#}

<L>909<pc>1-011-b<k1>aNkUray<k2>aNkUray	!√{#aNkUray#}

<L>919<pc>1-011-b<k1>aNKay<k2>aNKay	!√{#aNKay#}

<L>920<pc>1-011-b<k1>aNg<k2>aNg	√{#aNg#}

<L>1095<pc>1-013-b<k1>ac<k2>ac	√{#ac#}

<L>1208<pc>1-014-c<k1>aj<k2>aj	√{#aj#}

<L>1356<pc>1-016-c<k1>ajirAy<k2>ajirAy	!√{#ajirAy#}

<L>1430<pc>1-017-b<k1>aYj<k2>aYj	√{#aYj#}

<L>1476<pc>1-018-b<k1>aw<k2>aw	√{#aw#}

<L>1581<pc>1-019-b<k1>at<k2>at	√{#at#}

<L>2717<pc>1-032-a<k1>aDaray<k2>aDaray	!√{#aDaray#}

<L>3091<pc>1-036-c<k1>aDyApay<k2>aDyApay	!√{#aDyApay#}

<L>3159<pc>1-037-b<k1>aDvarIy<k2>aDvarIy	!√{#aDvarIy#}

<L>3161<pc>1-037-b<k1>aDvary<k2>aDvary	!√{#aDvary#}

<L>3658<pc>1-043-a<k1>analAy<k2>analAy	!√{#analAy#}

<L>4297<pc>1-050-c<k1>anukUlay<k2>anukUlay	!√{#anukUlay#}

<L>4783<pc>1-056-c<k1>anulomay<k2>anulomay	!√{#anulomay#}

<L>5173<pc>1-061-a<k1>antaHpurIy<k2>antaHpurIy	!√{#antaHpurIy#}

<L>5519<pc>1-065-b<k1>anDay<k2>anDay	!√{#anDay#}

<L>5634<pc>1-066-c<k1>anyaTay<k2>anyaTay	!√{#anyaTay#}

<L>6188<pc>1-073-a<k1>aparokzay<k2>aparokzay	!√{#aparokzay#}

<L>6328<pc>1-074-c<k1>apasy<k2>apasy	!√{#apasy#}

<L>6346<pc>1-074-c<k1>apahastay<k2>apahastay	!√{#apahastay#}

<L>6562<pc>1-077-a<k1>apuvAy<k2>apuvAy	!√{#apuvAy#}

<L>6579<pc>1-077-b<k1>apUpIy<k2>apUpIy	!√{#apUpIy#}

<L>7131<pc>1-083-c<k1>abj<k2>abj	√{#abj#}

<L>7676<pc>1-090-a<k1>aBizeRay<k2>aBizeRay	!√{#aBizeRay#}

<L>8188<pc>1-096-a<k1>amalay<k2>amalay	!√{#amalay#}

<L>8301<pc>1-097-a<k1>amitrAy<k2>amitrAy	!√{#amitrAy#}

<L>8431<pc>1-098-c<k1>amftAy<k2>amftAy	!√{#amftAy#}

<L>8697<pc>1-101-c<k1>ay<k2>ay	!√{#ay#}

<L>8901<pc>1-104-a<k1>ar<k2>ar	√{#ar#}

<L>9055<pc>1-105-c<k1>arAtiy<k2>arAtiy	!√{#arAtiy#}

<L>9057<pc>1-106-a<k1>arAtIy<k2>arAtIy	!√{#arAtIy#}

<L>9160<pc>1-107-a<k1>aruRay<k2>aruRay	!√{#aruRay#}

<L>9345<pc>1-109-b<k1>arC<k2>arC	√{#arC#}

<L>9475<pc>1-111-a<k1>arTay<k2>arTay	!√{#arTay#}

<L>9574<pc>1-112-c<k1>ard<k2>ard	√{#ard#}

<L>9685<pc>1-114-a<k1>arDay<k2>arDay	!√{#arDay#}

<L>9779<pc>1-115-a<k1>arpay<k2>arpay	!√{#arpay#}

<L>9863<pc>1-116-a<k1>arh<k2>arh	√{#arh#}

<L>10123<pc>1-119-b<k1>alpay<k2>alpay	!√{#alpay#}

<L>10171<pc>1-119-c<k1>av<k2>av	√{#av#}

<L>10182<pc>1-120-a<k1>avakarRay<k2>avakarRay	!√{#avakarRay#}

<L>10296<pc>1-121-a<k1>avacUrRay<k2>avacUrRay	!√{#avacUrRay#}

<L>10406<pc>1-122-b<k1>avaDIray<k2>avaDIray	!√{#avaDIray#}

<L>11047<pc>1-130-a<k1>aviparyay<k2>aviparyay	!√{#aviparyay#}

<L>11524<pc>1-136-a<k1>aSAy<k2>aSAy	!√{#aSAy#}

<L>11617<pc>1-137-a<k1>aSezay<k2>aSezay	!√{#aSezay#}

<L>11979<pc>1-140-c<k1>aSvAy<k2>aSvAy	!√{#aSvAy#}

<L>12738<pc>1-151-a<k1>asUy<k2>asUy	!√{#asUy#}

<L>12881<pc>1-152-c<k1>astrAy<k2>astrAy	!√{#astrAy#}

<L>12989<pc>1-154-a<k1>asmatsagrasanavyAttavyAlatuRqAy<k2>asmatsagrasanavyAttavyAlatuRqAy	!√{#asmatsagrasanavyAttavyAlatuRqAy#}

<L>13359<pc>1-158-a<k1>AkarRay<k2>AkarRay	!√{#AkarRay#}

<L>13424<pc>1-159-a<k1>AkASamuzwihananAy<k2>AkASamuzwihananAy	!√{#AkASamuzwihananAy#}

<L>13460<pc>1-159-b<k1>Akulay<k2>Akulay	!√{#Akulay#}

<L>13603<pc>1-161-a<k1>AKyAnay<k2>AKyAnay	!√{#AKyAnay#}

<L>13957<pc>1-165-a<k1>AYC<k2>AYC	√{#AYC#}

<L>14056<pc>1-166-b<k1>AtapatrAy<k2>AtapatrAy	!√{#AtapatrAy#}

<L>14064<pc>1-166-b<k1>AtapAy<k2>AtapAy	!√{#AtapAy#}

<L>14717<pc>1-174-a<k1>AnAyAy<k2>AnAyAy	!√{#AnAyAy#}

<L>14830<pc>1-175-a<k1>Andolay<k2>Andolay	!√{#Andolay#}

<L>14843<pc>1-175-a<k1>Ap<k2>Ap	√{#Ap#}

<L>14947<pc>1-177-b<k1>ApItay<k2>ApItay	!√{#ApItay#}

<L>15394<pc>1-182-b<k1>Ar<k2>Ar	√{#Ar#}

<L>15664<pc>1-185-b<k1>Ardray<k2>Ardray	!√{#Ardray#}

<L>15829<pc>1-187-b<k1>AlAnay<k2>AlAnay	!√{#AlAnay#}

<L>15847<pc>1-187-c<k1>AliNg<k2>AliNg	√{#AliNg#}

<L>16002<pc>1-189-c<k1>Avilay<k2>Avilay	!√{#Avilay#}

<L>16544<pc>1-196-c<k1>AhAray<k2>AhAray	!√{#AhAray#}

<L>16616<pc>1-197-c<k1>AhvAnay<k2>AhvAnay	!√{#AhvAnay#}

<L>16680<pc>1-201-b<k1>iNk<k2>iNk	√{#iNk#}

<L>16682<pc>1-201-b<k1>iNK<k2>iNK	√{#iNK#}

<L>16683<pc>1-201-b<k1>iNg<k2>iNg	√{#iNg#}

<L>16861<pc>1-204-a<k1>inakz<k2>inakz	√{#inakz#}

<L>17028<pc>1-205-c<k1>indray<k2>indray	!√{#indray#}

<L>17198<pc>1-207-c<k1>iyakz<k2>iyakz	√{#iyakz#}

<L>17209<pc>1-207-c<k1>iyasy<k2>iyasy	!√{#iyasy#}

<L>17212<pc>1-207-c<k1>irajy<k2>irajy	!√{#irajy#}

<L>17215<pc>1-208-a<k1>iraD<k2>iraD	√{#iraD#}

<L>17219<pc>1-208-a<k1>irasya<k2>irasya	!√{#irasya#}

<L>17284<pc>1-209-b<k1>izaRay<k2>izaRay	!√{#izaRay#}

<L>17286<pc>1-209-b<k1>izaRy<k2>izaRy	!√{#izaRy#}

<L>17291<pc>1-209-b<k1>izay<k2>izay	!√{#izay#}

<L>17314<pc>1-209-c<k1>izuDy<k2>izuDy	!√{#izuDy#}

<L>17331<pc>1-209-c<k1>izUy<k2>izUy	!√{#izUy#}

<L>17429<pc>1-211-a<k1>Ikz<k2>Ikz	√{#Ikz#}

<L>17444<pc>1-212-a<k1>INK<k2>INK	√{#INK#}

<L>17448<pc>1-212-a<k1>Ij<k2>Ij	√{#Ij#}

<L>17467<pc>1-212-b<k1>Ips<k2>Ips	√{#Ips#}

<L>17476<pc>1-212-b<k1>Ir<k2>Ir	√{#Ir#}

<L>17486<pc>1-213-a<k1>Irts<k2>Irts	√{#Irts#}

<L>17497<pc>1-213-a<k1>Irzy<k2>Irzy	!√{#Irzy#}

<L>17501<pc>1-213-a<k1>IrzyAy<k2>IrzyAy	!√{#IrzyAy#}

<L>17537<pc>1-213-c<k1>ISitavyAy<k2>ISitavyAy	!√{#ISitavyAy#}

<L>17603<pc>1-214-b<k1>Ih<k2>Ih	√{#Ih#}

