<L>1515<pc>1-018-c<k1>aqa<k2>°aqa	{#°aqa#}

<L>1658<pc>1-020-b<k1>atikramin<k2>°atikramin	{#°atikramin#}

<L>1666<pc>1-020-b<k1>atiga<k2>°atiga	{#°atiga#}

<L>1825<pc>1-022-a<k1>atipatti<k2>°atipatti	{#°atipatti#}

<L>1998<pc>1-024-a<k1>atilaNGin<k2>°atilaNGin	{#°atilaNGin#}

<L>2648<pc>1-031-a<k1>advan<k2>°advan	{#°advan#}

<L>2755<pc>1-032-c<k1>aDastala<k2>°aDastala	{#°aDastala#}

<L>2806<pc>1-033-c<k1>aDikftatva<k2>°aDikftatva	{#°aDikftatva#}

<L>3746<pc>1-044-a<k1>anavekzaka<k2>°anavekzaka	{#°anavekzaka#}

<L>4654<pc>1-055-a<k1>anubanDitva<k2>°anubanDitva	{#°anubanDitva#}

<L>4777<pc>1-056-b<k1>anulepin<k2>°anulepin	{#°anulepin#}

<L>4796<pc>1-056-c<k1>anuvandin<k2>°anuvandin	{#°anuvandin#}

<L>4800<pc>1-056-c<k1>anuvartitva<k2>°anuvartitva	{#°anuvartitva#}

<L>4826<pc>1-057-b<k1>anuvAsin<k2>°anuvAsin	{#°anuvAsin#}

<L>4840<pc>1-057-b<k1>anuvfttatva<k2>°anuvfttatva	{#°anuvfttatva#}

<L>4955<pc>1-058-c<k1>anusADin<k2>°anusADin	{#°anusADin#}

<L>4959<pc>1-058-c<k1>anusAraka<k2>°anusAraka	{#°anusAraka#}

<L>4970<pc>1-058-c<k1>anusevin<k2>°anusevin	{#°anusevin#}

<L>4980<pc>1-059-a<k1>anusyUtatva<k2>°anusyUtatva	{#°anusyUtatva#}

<L>4992<pc>1-059-a<k1>anuhAraka<k2>°anuhAraka	{#°anuhAraka#}

<L>5161<pc>1-061-a<k1>antaHpAtitva<k2>°antaHpAtitva	{#°antaHpAtitva#}

<L>5198<pc>1-061-b<k1>antacara<k2>°antacara	{#°antacara#}

<L>5218<pc>1-062-a<k1>antaracArin<k2>°antaracArin	{#°antaracArin#}

<L>5234<pc>1-062-b<k1>antarasTita<k2>°antarasTita	{#°antarasTita#}

<L>5936<pc>1-070-b<k1>apaTyakArin<k2>°apaTyakArin	{#°apaTyakArin#}

<L>5950<pc>1-070-b<k1>apadeSin<k2>°apadeSin	{#°apadeSin#}

<L>5976<pc>1-070-c<k1>apanuda<k2>°apanuda	{#°apanuda#}

