vol.	page	parva	adhy.	from v.	to v.	ipage	
6	12	13	1	1	11	1a	
6	13	13	1	12	26	1b	
6	14	13	1	27	39	2a	
6	15	13	1	40	50	2b	
6	16	13	1	51	67	3a	
6	17	13	1	68	83	3b	
6	18	13	2	1	23	4a	
6	19	13	2	24	45	4b	
6	20	13	2	46	67	5a	
6	21	13	2	68	90	5b	
6	22	13	2	91	96	6a	
6	22	13	3	1	11	6a	
6	23	13	3	12	19	6b	
6	23	13	4	1	9	6b	
6	24	13	4	10	33	7a	
6	25	13	4	34	58	7b	
6	26	13	4	59	62	8a	
6	26	13	5	1	12	8a	
6	27	13	5	13	32	8b	
6	28	13	6	1	21	9a	
6	29	13	6	22	36	9b	
6	30	13	6	37	48	10a	
6	31	13	6	49	49	10b	
6	31	13	7	1	12	10b	
6	32	13	7	13	28	11a	
6	33	13	7	29	29	11b	
6	33	13	8	1	16	11b	
6	34	13	8	17	29	12a	
6	34	13	9	1	4	12a	
6	35	13	9	5	26	12b	
6	36	13	9	27	28	13a	
6	36	13	10	1	17	13a	
6	37	13	10	18	40	13b	
6	38	13	10	41	63	14a	
6	39	13	10	64	75	14b	
6	39	13	11	1	6	14b	
6	40	13	11	7	21	15a	
6	40	13	12	1	1	15a	
6	41	13	12	2	24	15b	
6	42	13	12	25	48	16a	
6	43	13	12	49	54	16b	
6	43	13	13	1	6	16b	
6	44	13	14	1	10	17a	
6	45	13	14	11	20	17b	
6	46	13	14	21	33	18a	
6	47	13	14	34	54	18b	
6	48	13	14	55	74	19a	
6	49	13	14	75	94	19b	
6	50	13	14	95	117	20a	
6	51	13	14	118	138	20b	
6	52	13	14	139	161	21a	
6	53	13	14	162	178	21b	
6	54	13	14	179	192	22a	
6	55	13	14	193	196	22b	
6	56	13	14	197	208	23a	
6	57	13	14	209	222	23b	
6	58	13	14	223	230	24a	
6	59	13	14	231	251	24b	
6	60	13	14	252	275	25a	
6	61	13	14	276	301	25b	
6	62	13	14	302	323	26a	
6	63	13	14	324	346	26b	
6	64	13	14	347	371	27a	
6	65	13	14	372	391	27b	
6	66	13	14	392	410	28a	
6	67	13	14	411	422	28b	
6	68	13	14	423	429	29a	
6	68	13	15	1	7	29a	
6	69	13	15	8	15	29b	
6	69	13	16	1	13	29b	
6	70	13	16	14	24	30a	
6	71	13	16	25	40	30b	
6	72	13	16	41	59	31a	
6	73	13	16	60	76	31b	
6	74	13	17	1	22	32a	
6	75	13	17	23	30	32b	
6	76	13	17	31	32	33a	
6	77	13	17	33	36	33b	
6	78	13	17	37	40	34a	
6	79	13	17	41	44	34b	
6	80	13	17	45	47	35a	
6	81	13	17	48	53	35b	
6	82	13	17	54	55	36a	
6	83	13	17	56	60	36b	
6	84	13	17	61	66	37a	
6	85	13	17	67	70	37b	
6	86	13	17	71	74	38a	
6	87	13	17	75	78	38b	
6	88	13	17	79	84	39a	
6	89	13	17	85	91	39b	
6	90	13	17	92	95	40a	
6	91	13	17	96	101	40b	
6	92	13	17	102	104	41a	
6	93	13	17	105	108	41b	
6	94	13	17	109	116	42a	
6	95	13	17	117	122	42b	
6	96	13	17	123	128	43a	
6	97	13	17	129	133	43b	
6	98	13	17	134	138	44a	
6	99	13	17	139	142	44b	
6	100	13	17	143	149	45a	
6	101	13	17	150	153	45b	
6	102	13	17	154	171	46a	
6	103	13	17	172	182	46b	
6	103	13	18	1	10	46b	
6	104	13	18	11	31	47a	
6	105	13	18	32	52	47b	
6	106	13	18	53	72	48a	
6	107	13	18	73	83	48b	
6	108	13	19	1	10	49a	
6	109	13	19	11	32	49b	
6	110	13	19	33	54	50a	
6	111	13	19	55	77	50b	
6	112	13	19	78	98	51a	
6	113	13	19	99	103	51b	
6	113	13	20	1	13	51b	
6	114	13	20	14	26	52a	
6	114	13	21	1	1	52a	
