¦  (\u00a6) 135771 := BROKEN BAR
§  (\u00a7)     1 := SECTION SIGN
«  (\u00ab)    57 := LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
°  (\u00b0) 21451 := DEGREE SIGN
±  (\u00b1)     1 := PLUS-MINUS SIGN
²  (\u00b2)   587 := SUPERSCRIPT TWO
³  (\u00b3)     1 := SUPERSCRIPT THREE
¹  (\u00b9)    44 := SUPERSCRIPT ONE
»  (\u00bb)    57 := RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
Ñ  (\u00d1)   927 := LATIN CAPITAL LETTER N WITH TILDE
Ö  (\u00d6)     6 := LATIN CAPITAL LETTER O WITH DIAERESIS
×  (\u00d7)    22 := MULTIPLICATION SIGN
Ü  (\u00dc)   414 := LATIN CAPITAL LETTER U WITH DIAERESIS
ß  (\u00df)     1 := LATIN SMALL LETTER SHARP S
à  (\u00e0)     1 := LATIN SMALL LETTER A WITH GRAVE
á  (\u00e1)     2 := LATIN SMALL LETTER A WITH ACUTE
ä  (\u00e4) 24108 := LATIN SMALL LETTER A WITH DIAERESIS
ç  (\u00e7)     1 := LATIN SMALL LETTER C WITH CEDILLA
é  (\u00e9)     1 := LATIN SMALL LETTER E WITH ACUTE
ê  (\u00ea)     5 := LATIN SMALL LETTER E WITH CIRCUMFLEX
ë  (\u00eb)     1 := LATIN SMALL LETTER E WITH DIAERESIS
ñ  (\u00f1)   256 := LATIN SMALL LETTER N WITH TILDE
ö  (\u00f6) 13594 := LATIN SMALL LETTER O WITH DIAERESIS
ü  (\u00fc) 36328 := LATIN SMALL LETTER U WITH DIAERESIS
Ā  (\u0100) 28899 := LATIN CAPITAL LETTER A WITH MACRON
ā  (\u0101) 10309 := LATIN SMALL LETTER A WITH MACRON
ĕ  (\u0115)     1 := LATIN SMALL LETTER E WITH BREVE
Ī  (\u012a)  1269 := LATIN CAPITAL LETTER I WITH MACRON
ī  (\u012b)  2679 := LATIN SMALL LETTER I WITH MACRON
Ś  (\u015a) 12297 := LATIN CAPITAL LETTER S WITH ACUTE
ś  (\u015b)  1667 := LATIN SMALL LETTER S WITH ACUTE
Ū  (\u016a)   217 := LATIN CAPITAL LETTER U WITH MACRON
ū  (\u016b)   858 := LATIN SMALL LETTER U WITH MACRON
ʼ  (\u02bc)  7329 := MODIFIER LETTER APOSTROPHE
Β  (\u0392)     1 := GREEK CAPITAL LETTER BETA
Ζ  (\u0396)     2 := GREEK CAPITAL LETTER ZETA
Π  (\u03a0)     2 := GREEK CAPITAL LETTER PI
Τ  (\u03a4)     1 := GREEK CAPITAL LETTER TAU
ά  (\u03ac)    11 := GREEK SMALL LETTER ALPHA WITH TONOS
έ  (\u03ad)     3 := GREEK SMALL LETTER EPSILON WITH TONOS
ή  (\u03ae)    17 := GREEK SMALL LETTER ETA WITH TONOS
ί  (\u03af)    14 := GREEK SMALL LETTER IOTA WITH TONOS
α  (\u03b1)  1396 := GREEK SMALL LETTER ALPHA
β  (\u03b2)  1326 := GREEK SMALL LETTER BETA
γ  (\u03b3)   627 := GREEK SMALL LETTER GAMMA
δ  (\u03b4)   311 := GREEK SMALL LETTER DELTA
ε  (\u03b5)   182 := GREEK SMALL LETTER EPSILON
ζ  (\u03b6)    99 := GREEK SMALL LETTER ZETA
η  (\u03b7)    72 := GREEK SMALL LETTER ETA
ι  (\u03b9)    41 := GREEK SMALL LETTER IOTA
λ  (\u03bb)    30 := GREEK SMALL LETTER LAMDA
μ  (\u03bc)    31 := GREEK SMALL LETTER MU
ν  (\u03bd)    54 := GREEK SMALL LETTER NU
ξ  (\u03be)    11 := GREEK SMALL LETTER XI
ο  (\u03bf)    53 := GREEK SMALL LETTER OMICRON
π  (\u03c0)    19 := GREEK SMALL LETTER PI
ρ  (\u03c1)    43 := GREEK SMALL LETTER RHO
ς  (\u03c2)    39 := GREEK SMALL LETTER FINAL SIGMA
σ  (\u03c3)    10 := GREEK SMALL LETTER SIGMA
τ  (\u03c4)    28 := GREEK SMALL LETTER TAU
υ  (\u03c5)    21 := GREEK SMALL LETTER UPSILON
φ  (\u03c6)     9 := GREEK SMALL LETTER PHI
χ  (\u03c7)    12 := GREEK SMALL LETTER CHI
ω  (\u03c9)     6 := GREEK SMALL LETTER OMEGA
ό  (\u03cc)    10 := GREEK SMALL LETTER OMICRON WITH TONOS
ύ  (\u03cd)     7 := GREEK SMALL LETTER UPSILON WITH TONOS
ώ  (\u03ce)     2 := GREEK SMALL LETTER OMEGA WITH TONOS
ϑ  (\u03d1)    40 := GREEK THETA SYMBOL
ϰ  (\u03f0)    41 := GREEK KAPPA SYMBOL
а  (\u0430)     1 := CYRILLIC SMALL LETTER A
б  (\u0431)     1 := CYRILLIC SMALL LETTER BE
г  (\u0433)     1 := CYRILLIC SMALL LETTER GHE
о  (\u043e)     1 := CYRILLIC SMALL LETTER O
р  (\u0440)     1 := CYRILLIC SMALL LETTER ER
т  (\u0442)     1 := CYRILLIC SMALL LETTER TE
ы  (\u044b)     1 := CYRILLIC SMALL LETTER YERU
ь  (\u044c)     1 := CYRILLIC SMALL LETTER SOFT SIGN
إ  (\u0625)     4 := ARABIC LETTER ALEF WITH HAMZA BELOW
ا  (\u0627)    42 := ARABIC LETTER ALEF
ب  (\u0628)    16 := ARABIC LETTER BEH
ة  (\u0629)     2 := ARABIC LETTER TEH MARBUTA
ت  (\u062a)    10 := ARABIC LETTER TEH
ث  (\u062b)     2 := ARABIC LETTER THEH
ج  (\u062c)     3 := ARABIC LETTER JEEM
ح  (\u062d)     9 := ARABIC LETTER HAH
خ  (\u062e)     3 := ARABIC LETTER KHAH
د  (\u062f)    20 := ARABIC LETTER DAL
ر  (\u0631)    16 := ARABIC LETTER REH
ز  (\u0632)     4 := ARABIC LETTER ZAIN
س  (\u0633)     5 := ARABIC LETTER SEEN
ش  (\u0634)    12 := ARABIC LETTER SHEEN
ص  (\u0635)     2 := ARABIC LETTER SAD
